age,sex,province,education,n
30,Male,Ontario,"College, CEGEP or other non-university certificate or di...",12
30,Male,Ontario,High school diploma or a high school equivalency certificate,11
30,Male,Ontario,Less than high school diploma or its equivalent,1
30,Male,Ontario,University certificate or diploma below the bachelor's level,3
30,Male,Ontario,"University certificate, diploma or degree above the bach...",8
30,Male,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
30,Male,Prince Edward Island,"College, CEGEP or other non-university certificate or di...",2
30,Male,Prince Edward Island,High school diploma or a high school equivalency certificate,2
30,Male,Prince Edward Island,"University certificate, diploma or degree above the bach...",1
30,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",7
30,Male,Quebec,"College, CEGEP or other non-university certificate or di...",2
30,Male,Quebec,High school diploma or a high school equivalency certificate,4
30,Male,Quebec,Less than high school diploma or its equivalent,2
30,Male,Quebec,University certificate or diploma below the bachelor's level,9
30,Male,Quebec,"University certificate, diploma or degree above the bach...",3
30,Male,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",4
30,Male,Saskatchewan,"College, CEGEP or other non-university certificate or di...",2
30,Male,Saskatchewan,High school diploma or a high school equivalency certificate,4
30,Male,Saskatchewan,University certificate or diploma below the bachelor's level,5
31,Female,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",3
31,Female,Alberta,"College, CEGEP or other non-university certificate or di...",6
31,Female,Alberta,High school diploma or a high school equivalency certificate,2
31,Female,Alberta,Less than high school diploma or its equivalent,3
31,Female,Alberta,"University certificate, diploma or degree above the bach...",4
31,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
31,Female,British Columbia,"College, CEGEP or other non-university certificate or di...",1
31,Female,British Columbia,High school diploma or a high school equivalency certificate,3
31,Female,British Columbia,Less than high school diploma or its equivalent,1
31,Female,British Columbia,"University certificate, diploma or degree above the bach...",1
31,Female,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",4
31,Female,Manitoba,"College, CEGEP or other non-university certificate or di...",3
31,Female,Manitoba,High school diploma or a high school equivalency certificate,3
31,Female,Manitoba,Less than high school diploma or its equivalent,1
31,Female,Manitoba,University certificate or diploma below the bachelor's level,2
31,Female,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
31,Female,New Brunswick,"College, CEGEP or other non-university certificate or di...",3
31,Female,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",3
31,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",4
31,Female,Newfoundland and Labrador,Less than high school diploma or its equivalent,1
31,Female,Newfoundland and Labrador,University certificate or diploma below the bachelor's level,1
31,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bach...",2
31,Female,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",3
31,Female,Nova Scotia,"College, CEGEP or other non-university certificate or di...",4
31,Female,Nova Scotia,High school diploma or a high school equivalency certificate,1
31,Female,Nova Scotia,University certificate or diploma below the bachelor's level,1
31,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",17
31,Female,Ontario,"College, CEGEP or other non-university certificate or di...",15
31,Female,Ontario,High school diploma or a high school equivalency certificate,6
31,Female,Ontario,University certificate or diploma below the bachelor's level,3
31,Female,Ontario,"University certificate, diploma or degree above the bach...",10
31,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or di...",1
31,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,2
31,Female,Prince Edward Island,"University certificate, diploma or degree above the bach...",2
31,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",4
31,Female,Quebec,"College, CEGEP or other non-university certificate or di...",9
31,Female,Quebec,High school diploma or a high school equivalency certificate,3
31,Female,Quebec,Less than high school diploma or its equivalent,1
31,Female,Quebec,University certificate or diploma below the bachelor's level,11
31,Female,Quebec,"University certificate, diploma or degree above the bach...",5
31,Female,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",4
31,Female,Saskatchewan,"College, CEGEP or other non-university certificate or di...",4
31,Female,Saskatchewan,High school diploma or a high school equivalency certificate,1
31,Female,Saskatchewan,"University certificate, diploma or degree above the bach...",1
31,Male,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",6
31,Male,Alberta,"College, CEGEP or other non-university certificate or di...",7
31,Male,Alberta,High school diploma or a high school equivalency certificate,4
31,Male,Alberta,Less than high school diploma or its equivalent,1
31,Male,Alberta,University certificate or diploma below the bachelor's level,2
31,Male,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",6
31,Male,British Columbia,"College, CEGEP or other non-university certificate or di...",4
31,Male,British Columbia,High school diploma or a high school equivalency certificate,3
31,Male,British Columbia,University certificate or diploma below the bachelor's level,3
31,Male,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",4
31,Male,Manitoba,"College, CEGEP or other non-university certificate or di...",1
31,Male,Manitoba,High school diploma or a high school equivalency certificate,1
31,Male,Manitoba,Less than high school diploma or its equivalent,1
31,Male,Manitoba,University certificate or diploma below the bachelor's level,1
31,Male,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
31,Male,New Brunswick,"College, CEGEP or other non-university certificate or di...",2
31,Male,New Brunswick,"University certificate, diploma or degree above the bach...",1
31,Male,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",2
31,Male,Newfoundland and Labrador,"University certificate, diploma or degree above the bach...",1
31,Male,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",4
31,Male,Nova Scotia,"College, CEGEP or other non-university certificate or di...",2
31,Male,Nova Scotia,High school diploma or a high school equivalency certificate,3
31,Male,Nova Scotia,University certificate or diploma below the bachelor's level,1
31,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",10
31,Male,Ontario,"College, CEGEP or other non-university certificate or di...",7
31,Male,Ontario,High school diploma or a high school equivalency certificate,9
31,Male,Ontario,University certificate or diploma below the bachelor's level,2
31,Male,Ontario,"University certificate, diploma or degree above the bach...",5
31,Male,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
31,Male,Prince Edward Island,"College, CEGEP or other non-university certificate or di...",3
31,Male,Prince Edward Island,High school diploma or a high school equivalency certificate,2
31,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",6
31,Male,Quebec,"College, CEGEP or other non-university certificate or di...",6
31,Male,Quebec,High school diploma or a high school equivalency certificate,4
31,Male,Quebec,Less than high school diploma or its equivalent,1
31,Male,Quebec,University certificate or diploma below the bachelor's level,11
31,Male,Quebec,"University certificate, diploma or degree above the bach...",2
31,Male,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",5
31,Male,Saskatchewan,"College, CEGEP or other non-university certificate or di...",2
31,Male,Saskatchewan,High school diploma or a high school equivalency certificate,5
32,Female,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",5
32,Female,Alberta,"College, CEGEP or other non-university certificate or di...",3
32,Female,Alberta,High school diploma or a high school equivalency certificate,4
32,Female,Alberta,"University certificate, diploma or degree above the bach...",1
32,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",8
32,Female,British Columbia,"College, CEGEP or other non-university certificate or di...",8
32,Female,British Columbia,High school diploma or a high school equivalency certificate,1
32,Female,British Columbia,University certificate or diploma below the bachelor's level,1
32,Female,British Columbia,"University certificate, diploma or degree above the bach...",5
32,Female,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",3
32,Female,Manitoba,"College, CEGEP or other non-university certificate or di...",1
32,Female,Manitoba,High school diploma or a high school equivalency certificate,5
32,Female,Manitoba,Less than high school diploma or its equivalent,3
32,Female,Manitoba,University certificate or diploma below the bachelor's level,1
32,Female,Manitoba,"University certificate, diploma or degree above the bach...",2
32,Female,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
32,Female,New Brunswick,"College, CEGEP or other non-university certificate or di...",6
32,Female,New Brunswick,High school diploma or a high school equivalency certificate,2
32,Female,New Brunswick,Less than high school diploma or its equivalent,2
32,Female,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",4
32,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",4
32,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bach...",3
32,Female,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",3
32,Female,Nova Scotia,"College, CEGEP or other non-university certificate or di...",3
32,Female,Nova Scotia,High school diploma or a high school equivalency certificate,1
32,Female,Nova Scotia,"University certificate, diploma or degree above the bach...",1
32,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",10
32,Female,Ontario,"College, CEGEP or other non-university certificate or di...",13
32,Female,Ontario,High school diploma or a high school equivalency certificate,5
32,Female,Ontario,Less than high school diploma or its equivalent,1
32,Female,Ontario,University certificate or diploma below the bachelor's level,2
32,Female,Ontario,"University certificate, diploma or degree above the bach...",9
32,Female,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
32,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or di...",2
32,Female,Prince Edward Island,"University certificate, diploma or degree above the bach...",1
32,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",16
32,Female,Quebec,"College, CEGEP or other non-university certificate or di...",6
32,Female,Quebec,High school diploma or a high school equivalency certificate,3
32,Female,Quebec,Less than high school diploma or its equivalent,3
32,Female,Quebec,University certificate or diploma below the bachelor's level,7
32,Female,Quebec,"University certificate, diploma or degree above the bach...",4
32,Female,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
32,Female,Saskatchewan,High school diploma or a high school equivalency certificate,3
32,Female,Saskatchewan,Less than high school diploma or its equivalent,1
32,Female,Saskatchewan,University certificate or diploma below the bachelor's level,2
32,Female,Saskatchewan,"University certificate, diploma or degree above the bach...",1
32,Male,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
32,Male,Alberta,"College, CEGEP or other non-university certificate or di...",4
32,Male,Alberta,High school diploma or a high school equivalency certificate,2
32,Male,Alberta,Less than high school diploma or its equivalent,1
32,Male,Alberta,University certificate or diploma below the bachelor's level,2
32,Male,Alberta,"University certificate, diploma or degree above the bach...",4
32,Male,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",8
32,Male,British Columbia,"College, CEGEP or other non-university certificate or di...",7
32,Male,British Columbia,High school diploma or a high school equivalency certificate,3
32,Male,British Columbia,Less than high school diploma or its equivalent,1
32,Male,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
32,Male,Manitoba,"College, CEGEP or other non-university certificate or di...",2
32,Male,Manitoba,High school diploma or a high school equivalency certificate,4
32,Male,Manitoba,Less than high school diploma or its equivalent,3
32,Male,Manitoba,"University certificate, diploma or degree above the bach...",2
32,Male,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
32,Male,New Brunswick,University certificate or diploma below the bachelor's level,2
32,Male,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
32,Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,1
32,Male,Newfoundland and Labrador,University certificate or diploma below the bachelor's level,3
32,Male,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
32,Male,Nova Scotia,"College, CEGEP or other non-university certificate or di...",1
32,Male,Nova Scotia,High school diploma or a high school equivalency certificate,2
32,Male,Nova Scotia,Less than high school diploma or its equivalent,2
32,Male,Nova Scotia,University certificate or diploma below the bachelor's level,1
32,Male,Nova Scotia,"University certificate, diploma or degree above the bach...",1
32,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",14
32,Male,Ontario,"College, CEGEP or other non-university certificate or di...",12
32,Male,Ontario,High school diploma or a high school equivalency certificate,5
32,Male,Ontario,Less than high school diploma or its equivalent,2
32,Male,Ontario,University certificate or diploma below the bachelor's level,4
32,Male,Ontario,"University certificate, diploma or degree above the bach...",8
32,Male,Prince Edward Island,"College, CEGEP or other non-university certificate or di...",1
32,Male,Prince Edward Island,Less than high school diploma or its equivalent,1
32,Male,Prince Edward Island,University certificate or diploma below the bachelor's level,1
32,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",9
32,Male,Quebec,"College, CEGEP or other non-university certificate or di...",8
32,Male,Quebec,High school diploma or a high school equivalency certificate,1
32,Male,Quebec,Less than high school diploma or its equivalent,3
32,Male,Quebec,University certificate or diploma below the bachelor's level,3
32,Male,Quebec,"University certificate, diploma or degree above the bach...",5
32,Male,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
32,Male,Saskatchewan,"College, CEGEP or other non-university certificate or di...",1
32,Male,Saskatchewan,High school diploma or a high school equivalency certificate,4
32,Male,Saskatchewan,University certificate or diploma below the bachelor's level,2
32,Male,Saskatchewan,"University certificate, diploma or degree above the bach...",1
33,Female,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",6
33,Female,Alberta,"College, CEGEP or other non-university certificate or di...",10
33,Female,Alberta,High school diploma or a high school equivalency certificate,4
33,Female,Alberta,University certificate or diploma below the bachelor's level,3
33,Female,Alberta,"University certificate, diploma or degree above the bach...",3
33,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",5
33,Female,British Columbia,"College, CEGEP or other non-university certificate or di...",5
33,Female,British Columbia,High school diploma or a high school equivalency certificate,5
33,Female,British Columbia,University certificate or diploma below the bachelor's level,2
33,Female,British Columbia,"University certificate, diploma or degree above the bach...",5
33,Female,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",4
33,Female,Manitoba,"College, CEGEP or other non-university certificate or di...",4
33,Female,Manitoba,"University certificate, diploma or degree above the bach...",1
33,Female,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",5
33,Female,New Brunswick,"College, CEGEP or other non-university certificate or di...",3
33,Female,New Brunswick,High school diploma or a high school equivalency certificate,4
33,Female,New Brunswick,"University certificate, diploma or degree above the bach...",2
33,Female,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
33,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",1
33,Female,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,1
33,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bach...",1
33,Female,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
33,Female,Nova Scotia,"College, CEGEP or other non-university certificate or di...",2
33,Female,Nova Scotia,High school diploma or a high school equivalency certificate,5
33,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",11
33,Female,Ontario,"College, CEGEP or other non-university certificate or di...",8
33,Female,Ontario,High school diploma or a high school equivalency certificate,7
33,Female,Ontario,Less than high school diploma or its equivalent,1
33,Female,Ontario,University certificate or diploma below the bachelor's level,5
33,Female,Ontario,"University certificate, diploma or degree above the bach...",6
33,Female,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",3
33,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or di...",2
33,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,2
33,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",8
33,Female,Quebec,"College, CEGEP or other non-university certificate or di...",10
33,Female,Quebec,High school diploma or a high school equivalency certificate,2
33,Female,Quebec,Less than high school diploma or its equivalent,2
33,Female,Quebec,University certificate or diploma below the bachelor's level,6
33,Female,Quebec,"University certificate, diploma or degree above the bach...",2
33,Female,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",3
33,Female,Saskatchewan,"College, CEGEP or other non-university certificate or di...",4
33,Female,Saskatchewan,High school diploma or a high school equivalency certificate,4
33,Female,Saskatchewan,University certificate or diploma below the bachelor's level,1
33,Male,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
33,Male,Alberta,"College, CEGEP or other non-university certificate or di...",1
33,Male,Alberta,High school diploma or a high school equivalency certificate,6
33,Male,Alberta,Less than high school diploma or its equivalent,1
33,Male,Alberta,University certificate or diploma below the bachelor's level,2
33,Male,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
33,Male,British Columbia,"College, CEGEP or other non-university certificate or di...",7
33,Male,British Columbia,High school diploma or a high school equivalency certificate,2
33,Male,British Columbia,University certificate or diploma below the bachelor's level,1
33,Male,British Columbia,"University certificate, diploma or degree above the bach...",2
33,Male,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",4
33,Male,Manitoba,"College, CEGEP or other non-university certificate or di...",2
33,Male,Manitoba,High school diploma or a high school equivalency certificate,1
33,Male,Manitoba,University certificate or diploma below the bachelor's level,3
33,Male,New Brunswick,"College, CEGEP or other non-university certificate or di...",2
33,Male,New Brunswick,High school diploma or a high school equivalency certificate,2
33,Male,New Brunswick,Less than high school diploma or its equivalent,1
33,Male,New Brunswick,University certificate or diploma below the bachelor's level,3
33,Male,New Brunswick,"University certificate, diploma or degree above the bach...",1
33,Male,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
33,Male,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",2
33,Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,1
33,Male,Newfoundland and Labrador,University certificate or diploma below the bachelor's level,1
33,Male,Newfoundland and Labrador,"University certificate, diploma or degree above the bach...",2
33,Male,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",3
33,Male,Nova Scotia,"College, CEGEP or other non-university certificate or di...",2
33,Male,Nova Scotia,High school diploma or a high school equivalency certificate,1
33,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",11
33,Male,Ontario,"College, CEGEP or other non-university certificate or di...",10
33,Male,Ontario,High school diploma or a high school equivalency certificate,10
33,Male,Ontario,University certificate or diploma below the bachelor's level,2
33,Male,Ontario,"University certificate, diploma or degree above the bach...",4
33,Male,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
33,Male,Prince Edward Island,"College, CEGEP or other non-university certificate or di...",1
33,Male,Prince Edward Island,High school diploma or a high school equivalency certificate,1
33,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",4
33,Male,Quebec,"College, CEGEP or other non-university certificate or di...",9
33,Male,Quebec,High school diploma or a high school equivalency certificate,2
33,Male,Quebec,Less than high school diploma or its equivalent,1
33,Male,Quebec,University certificate or diploma below the bachelor's level,3
33,Male,Quebec,"University certificate, diploma or degree above the bach...",2
33,Male,Saskatchewan,"College, CEGEP or other non-university certificate or di...",3
33,Male,Saskatchewan,High school diploma or a high school equivalency certificate,5
33,Male,Saskatchewan,University certificate or diploma below the bachelor's level,4
34,Female,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",4
34,Female,Alberta,"College, CEGEP or other non-university certificate or di...",7
34,Female,Alberta,High school diploma or a high school equivalency certificate,7
34,Female,Alberta,Less than high school diploma or its equivalent,2
34,Female,Alberta,University certificate or diploma below the bachelor's level,2
34,Female,Alberta,"University certificate, diploma or degree above the bach...",3
34,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",5
34,Female,British Columbia,"College, CEGEP or other non-university certificate or di...",4
34,Female,British Columbia,High school diploma or a high school equivalency certificate,4
34,Female,British Columbia,University certificate or diploma below the bachelor's level,4
34,Female,British Columbia,"University certificate, diploma or degree above the bach...",3
34,Female,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",3
34,Female,Manitoba,"College, CEGEP or other non-university certificate or di...",3
34,Female,Manitoba,High school diploma or a high school equivalency certificate,1
34,Female,Manitoba,Less than high school diploma or its equivalent,2
34,Female,Manitoba,University certificate or diploma below the bachelor's level,2
34,Female,Manitoba,"University certificate, diploma or degree above the bach...",1
34,Female,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",2
34,Female,New Brunswick,"College, CEGEP or other non-university certificate or di...",5
34,Female,New Brunswick,High school diploma or a high school equivalency certificate,1
34,Female,New Brunswick,"University certificate, diploma or degree above the bach...",1
34,Female,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
34,Female,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",3
34,Female,Newfoundland and Labrador,University certificate or diploma below the bachelor's level,2
34,Female,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",6
34,Female,Nova Scotia,"College, CEGEP or other non-university certificate or di...",3
34,Female,Nova Scotia,"University certificate, diploma or degree above the bach...",1
34,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",14
34,Female,Ontario,"College, CEGEP or other non-university certificate or di...",9
34,Female,Ontario,High school diploma or a high school equivalency certificate,5
34,Female,Ontario,Less than high school diploma or its equivalent,2
34,Female,Ontario,"University certificate, diploma or degree above the bach...",11
34,Female,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",3
34,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or di...",2
34,Female,Prince Edward Island,Less than high school diploma or its equivalent,1
34,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",13
34,Female,Quebec,"College, CEGEP or other non-university certificate or di...",5
34,Female,Quebec,High school diploma or a high school equivalency certificate,1
34,Female,Quebec,Less than high school diploma or its equivalent,2
34,Female,Quebec,University certificate or diploma below the bachelor's level,2
34,Female,Quebec,"University certificate, diploma or degree above the bach...",4
34,Female,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",4
34,Female,Saskatchewan,"College, CEGEP or other non-university certificate or di...",2
34,Female,Saskatchewan,High school diploma or a high school equivalency certificate,1
34,Female,Saskatchewan,Less than high school diploma or its equivalent,1
34,Female,Saskatchewan,"University certificate, diploma or degree above the bach...",1
34,Male,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",3
34,Male,Alberta,"College, CEGEP or other non-university certificate or di...",4
34,Male,Alberta,High school diploma or a high school equivalency certificate,4
34,Male,Alberta,University certificate or diploma below the bachelor's level,4
34,Male,Alberta,"University certificate, diploma or degree above the bach...",2
34,Male,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",8
34,Male,British Columbia,"College, CEGEP or other non-university certificate or di...",6
34,Male,British Columbia,High school diploma or a high school equivalency certificate,5
34,Male,British Columbia,Less than high school diploma or its equivalent,1
34,Male,British Columbia,University certificate or diploma below the bachelor's level,3
34,Male,Manitoba,"College, CEGEP or other non-university certificate or di...",2
34,Male,Manitoba,High school diploma or a high school equivalency certificate,1
34,Male,Manitoba,Less than high school diploma or its equivalent,2
34,Male,Manitoba,"University certificate, diploma or degree above the bach...",1
34,Male,New Brunswick,"College, CEGEP or other non-university certificate or di...",3
34,Male,New Brunswick,Less than high school diploma or its equivalent,1
34,Male,New Brunswick,University certificate or diploma below the bachelor's level,1
34,Male,New Brunswick,"University certificate, diploma or degree above the bach...",2
34,Male,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",3
34,Male,Newfoundland and Labrador,"College, CEGEP or other non-university certificate or di...",1
34,Male,Newfoundland and Labrador,High school diploma or a high school equivalency certificate,2
34,Male,Newfoundland and Labrador,University certificate or diploma below the bachelor's level,2
34,Male,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
34,Male,Nova Scotia,"College, CEGEP or other non-university certificate or di...",1
34,Male,Nova Scotia,High school diploma or a high school equivalency certificate,1
34,Male,Nova Scotia,Less than high school diploma or its equivalent,1
34,Male,Nova Scotia,University certificate or diploma below the bachelor's level,1
34,Male,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",10
34,Male,Ontario,"College, CEGEP or other non-university certificate or di...",11
34,Male,Ontario,High school diploma or a high school equivalency certificate,11
34,Male,Ontario,University certificate or diploma below the bachelor's level,5
34,Male,Ontario,"University certificate, diploma or degree above the bach...",5
34,Male,Prince Edward Island,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
34,Male,Prince Edward Island,"College, CEGEP or other non-university certificate or di...",2
34,Male,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",5
34,Male,Quebec,"College, CEGEP or other non-university certificate or di...",5
34,Male,Quebec,High school diploma or a high school equivalency certificate,7
34,Male,Quebec,University certificate or diploma below the bachelor's level,3
34,Male,Quebec,"University certificate, diploma or degree above the bach...",6
34,Male,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",3
34,Male,Saskatchewan,"College, CEGEP or other non-university certificate or di...",1
34,Male,Saskatchewan,High school diploma or a high school equivalency certificate,1
34,Male,Saskatchewan,University certificate or diploma below the bachelor's level,1
35,Female,Alberta,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",3
35,Female,Alberta,"College, CEGEP or other non-university certificate or di...",4
35,Female,Alberta,High school diploma or a high school equivalency certificate,5
35,Female,Alberta,Less than high school diploma or its equivalent,1
35,Female,Alberta,"University certificate, diploma or degree above the bach...",3
35,Female,British Columbia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",12
35,Female,British Columbia,"College, CEGEP or other non-university certificate or di...",8
35,Female,British Columbia,High school diploma or a high school equivalency certificate,1
35,Female,British Columbia,"University certificate, diploma or degree above the bach...",6
35,Female,Manitoba,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
35,Female,Manitoba,"College, CEGEP or other non-university certificate or di...",3
35,Female,Manitoba,High school diploma or a high school equivalency certificate,3
35,Female,Manitoba,Less than high school diploma or its equivalent,1
35,Female,New Brunswick,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
35,Female,New Brunswick,"College, CEGEP or other non-university certificate or di...",5
35,Female,New Brunswick,High school diploma or a high school equivalency certificate,2
35,Female,New Brunswick,"University certificate, diploma or degree above the bach...",2
35,Female,Newfoundland and Labrador,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",6
35,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bach...",1
35,Female,Nova Scotia,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",4
35,Female,Nova Scotia,"College, CEGEP or other non-university certificate or di...",3
35,Female,Nova Scotia,High school diploma or a high school equivalency certificate,3
35,Female,Nova Scotia,University certificate or diploma below the bachelor's level,1
35,Female,Ontario,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",9
35,Female,Ontario,"College, CEGEP or other non-university certificate or di...",9
35,Female,Ontario,High school diploma or a high school equivalency certificate,6
35,Female,Ontario,University certificate or diploma below the bachelor's level,1
35,Female,Ontario,"University certificate, diploma or degree above the bach...",5
35,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or di...",2
35,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,1
35,Female,Prince Edward Island,Less than high school diploma or its equivalent,1
35,Female,Quebec,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",12
35,Female,Quebec,"College, CEGEP or other non-university certificate or di...",5
35,Female,Quebec,University certificate or diploma below the bachelor's level,3
35,Female,Quebec,"University certificate, diploma or degree above the bach...",4
35,Female,Saskatchewan,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",1
35,Female,Saskatchewan,"College, CEGEP or other non-university certificate or di...",3
